City,January,April,July,October,AnnPrecipIn,AnnPrecipDays,AnnSnowIn
"Albany, N.Y.",22.2,46.6,71.1,49.3,38.6,136,64.4
"Albuquerque, N.M.",35.7,55.6,78.5,57.3,9.47,60,11
"Anchorage, Alaska",15.8,36.3,58.4,34.1,16.08,115,70.8
"Asheville, N.C.",35.8,54.1,73,55.2,47.07,126,15.3
"Atlanta, Ga.",42.7,61.6,80,62.8,50.2,115,2.1
"Atlantic City, N.J.",32.1,50.6,75.3,55.1,40.59,113,16.2
"Austin, Texas",50.2,68.3,84.2,70.6,33.65,85,0.9
"Baltimore, Md.",32.3,53.2,76.5,55.4,41.94,115,21.5
"Baton Rouge, La.",50.1,66.6,81.7,68.1,63.08,110,0.2
"Billings, Mont.",24,46.1,72,48.1,14.77,96,56.9
"Birmingham, Ala.",42.6,61.3,80.2,62.9,53.99,117,1.5
"Bismarck, N.D.",10.2,43.3,70.4,45.2,16.84,96,44.3
"Boise, Idaho",30.2,50.6,74.7,52.8,12.19,89,20.6
"Boston, Mass.",29.3,48.3,73.9,54.1,42.53,127,42.8
"Bridgeport, Conn.",29.9,48.9,74,54.7,44.15,119,26.2
"Buffalo, N.Y.",24.5,45.3,70.8,50.7,40.54,169,93.6
"Burlington, Vt.",18,43.5,70.6,47.7,36.05,154,79.3
"Caribou, Maine",9.5,38.1,65.6,42.8,37.44,161,112.1
"Casper, Wyo.",22.3,42.7,70,45.7,13.03,94,77.8
"Charleston, S.C.",47.9,64.2,81.7,66.2,51.53,114,0.7
"Charleston, W.Va.",33.4,54.3,73.9,55.1,44.05,151,34
"Charlotte, N.C.",41.7,60.9,80.3,61.7,43.51,112,5.6
"Cheyenne, Wyo.",25.9,41.6,67.7,45.4,15.45,100,55.8
"Chicago, Ill.",22,47.8,73.3,52.1,36.27,125,38
"Cleveland, Ohio",25.7,47.6,71.9,52.2,38.71,155,57.6
"Columbia, S.C.",44.6,63.2,82,63.7,48.27,109,1.9
"Columbus, Ohio",28.3,52,75.1,54.7,38.52,137,28.2
"Concord, N.H.",20.1,44.6,70,47.8,37.6,127,64.5
"Dallas-Ft. Worth, Texas",44.1,65,85,67.2,34.73,79,2.6
"Denver, Colo.",29.2,47.6,73.4,51,15.81,89,60.3
"Des Moines, Iowa",20.4,50.6,76.1,52.8,34.72,108,33.3
"Detroit, Mich.",24.5,48.1,73.5,51.9,32.89,135,41.3
"Dodge City, Kan.",30.1,53.9,79.8,57.1,22.35,78,20.3
"Duluth, Minn.",8.4,39,65.5,43.5,31,134,80.6
"El Paso, Texas",45.1,64.6,83.3,64.9,9.43,49,5.3
"Fairbanks, Alaska",-9.7,31.7,62.4,23.5,10.34,106,67.7
"Fargo, N.D.",6.8,43.5,70.6,45.3,21.19,101,40.8
"Grand Junction, Colo.",26.1,50.9,76.8,52.7,8.99,72,23.6
"Grand Rapids, Mich.",22.4,46.3,71.4,49.9,37.13,144,73.3
"Hartford, Conn.",25.7,48.9,73.7,51.9,46.16,128,49.6
"Helena, Mont.",20.2,44.1,67.8,44.8,11.32,95,46.9
"Honolulu, Hawaii",73,75.6,80.8,80.2,18.29,96,0
"Houston, Texas",51.8,68.5,83.6,70.4,47.84,105,0.4
"Indianapolis, Ind.",26.5,52,75.4,54.6,40.95,126,23.9
"Jackson, Miss.",45,63.4,81.4,64.4,55.95,110,1
"Jacksonville, Fla.",53.1,66.6,81.6,69.4,52.34,116,trace
"Juneau, Alaska",25.7,40.8,56.8,42.3,58.33,223,97
"Kansas City, Mo.",26.9,54.4,78.5,56.8,37.98,104,19.9
"Knoxville, Tenn.",37.6,57.8,77.7,58.8,48.22,127,11.5
"Las Vegas, Nev.",47,66,91.2,68.7,4.49,26,1.2
"Lexington, Ky.",32,54.6,76.1,56.6,45.91,130,16.1
"Little Rock, Ark.",40.1,61.4,82.4,63.3,50.93,104,5.2
"Long Beach, Calif.",57,63,73.8,68.6,12.94,31,trace
"Los Angeles, Calif.",57.1,60.8,69.3,66.9,13.15,35,trace
"Louisville, Ky.",33,56.4,78.4,58.5,44.54,124,16.4
"Madison, Wisc.",17.3,45.9,71.6,49.3,32.95,120,43.8
"Memphis, Tenn.",39.9,62.1,82.5,63.8,54.65,107,5.1
"Miami, Fla.",68.1,75.7,83.7,78.8,58.53,131,trace
"Milwaukee, Wisc.",20.7,45.2,72,51.4,34.81,125,47
"Minneapolis-St. Paul, Minn.",13.1,46.6,73.2,48.7,29.41,115,49.9
"Mobile, Ala.",50.1,66.1,81.5,67.7,66.29,121,0.4
"Montgomery, Ala.",46.6,64.3,81.8,65.4,54.77,108,0.4
"Mt. Washington, N.H.",5.2,22.9,48.7,30.2,101.91,209,259.9
"Nashville, Tenn.",36.8,58.5,79.1,59.9,48.11,119,10.1
"Newark, N.J.",31.3,52.3,77.2,56.4,46.25,122,28.3
"New Orleans, La.",52.6,68.2,82.7,70,64.16,114,0.2
"New York, N.Y.",32.1,52.5,76.5,56.6,49.69,121,28.6
"Norfolk, Va.",40.1,57.4,79.1,61.1,45.74,116,7.8
"Oklahoma City, Okla.",36.7,59.7,82,62,35.85,83,9.5
"Olympia, Wash.",38.1,47.4,62.8,49.7,50.79,163,16.7
"Omaha, Neb.",21.7,51.4,76.7,53.2,30.22,99,30.1
"Philadelphia, Pa.",32.3,53.1,77.6,57.2,42.05,117,20.8
"Phoenix, Ariz.",54.2,70.2,92.8,74.6,8.29,36,trace
"Pittsburgh, Pa.",27.5,49.9,72.6,52.5,37.85,152,43.6
"Portland, Maine",21.7,43.7,68.7,47.7,45.83,129,70.4
"Portland, Ore.",39.9,51.2,68.1,54.3,37.07,153,6.5
"Providence, R.I.",28.7,48.6,73.3,53,46.45,124,36
"Raleigh, N.C.",39.7,59.1,78.8,60,43.05,113,7.5
"Reno, Nev.",33.6,48.6,71.3,52,7.48,51,24.3
"Richmond, Va.",36.4,57.1,77.9,58.3,43.91,114,13.8
"Roswell, N.M.",40,60.5,80.8,61.4,13.34,54,11.7
"Sacramento, Calif.",46.3,58.9,75.4,64.4,17.93,58,trace
"Salt Lake City, Utah",29.2,50,77,52.5,16.5,91,58.7
"San Antonio, Texas",50.3,68.6,84.3,70.7,32.92,82,0.7
"San Diego, Calif.",57.8,62.6,70.9,67.6,10.77,41,trace
"San Francisco, Calif.",49.4,56.2,62.8,61,20.11,63,trace
"Savannah, Ga.",49.2,65.3,82.1,67.1,49.58,111,0.4
"Seattle-Tacoma, Wash.",40.9,50.2,65.3,52.7,37.07,155,11.4
"Sioux Falls, S.D.",14,45.7,73,48,24.69,98,41.2
"Spokane, Wash.",27.3,46.5,68.6,47.2,16.67,112,48.6
"Springfield, Ill.",25.1,52.8,76.3,55.5,35.56,113,23.2
"St. Louis, Mo.",29.6,56.6,80.2,58.3,38.75,111,19.6
"Tampa, Fla.",61.3,71.5,82.5,75.8,44.77,106,trace
"Toledo, Ohio",23.9,48.3,73,51.8,33.21,134,37.1
"Tucson, Ariz.",51.7,66,86.5,70.5,12.17,53,1.2
"Tulsa, Okla.",36.4,60.8,83.5,62.6,42.42,91,10.2
"Vero Beach, Fla.",63,71.5,81.7,76.4,51.93,126,trace
"Washington, D.C.",34.9,56.1,79.2,58.8,39.35,113,17.1
"Wichita, Kan.",30.2,55.3,81,58.6,30.38,85,15.9
"Wilmington, Del.",31.5,52.4,76.6,55.8,42.81,117,21.1